text,label,label_id
"Khá ok, nhân viên vui vẻ.",POS,2
"Dù ồn ào, cảnh vẫn lãng mạn.",NEU,1
"Cũng được, không có gì đặc biệt.",NEU,1
"mê, chỉ hơi kém thôi.",NEU,1
"Giá hơi cao, còn lại ok.",NEU,1
"đông quá, nhân viên cộc lốc, xấu!",NEG,0
"Địa điểm ổn, nhân viên thân thiện, rất recommend!",POS,2
Không dở lắm,NEU,1
"nhân viên vui vẻ, wifi mạnh, sẽ quay lại!",POS,2
"Quá bẩn, phục vụ chậm, phí tiền!",NEG,0
"Khá tuyệt vời, phục vụ tốt.",POS,2
"Cũng tuyệt vời, recommend.",POS,2
"Hơi chờ lâu, nhưng chấp nhận được.",NEU,1
"Tương đối ấn tượng, tạm chấp nhận.",NEU,1
"Khá ổn, dịch vụ chuyên nghiệp.",POS,2
"Khá tồi, không đáng tiền.",NEG,0
"Khá xịn, dịch vụ chuyên nghiệp.",POS,2
"Giá không đáng tiền, dở, thất vọng!",NEG,0
"Cũng không tồi, ok.",NEU,1
"bẩn quá, kém, không recommend!",NEG,0
"Cũng ổn, recommend.",POS,2
"đẹp, chỉ hơi kém thôi.",NEU,1
phòng sạch sẽ nhưng không đáng tiền.,NEU,1
"wc hôi, tệ, không recommend!",NEG,0
"Hơi chán, nhân viên cộc lốc.",NEG,0
"Dịch vụ thất vọng, dịch vụ tệ, không bao giờ quay lại!",NEG,0
Bình thường,NEU,1
"View ấn tượng, phong cảnh thơ mộng, đáng đi lắm!",POS,2
"hỗ trợ nhiệt tình, decor đẹp, sẽ quay lại!",POS,2
"Cảnh hay, chụp hình lãng mạn, thích lắm!",POS,2
"Cũng được, không có gì đặc biệt.",NEU,1
"Hơi tồi, còn lại ok.",NEU,1
"View lãng mạn, phong cảnh ấn tượng, đáng đi lắm!",POS,2
"hỗ trợ nhiệt tình, nhưng chán.",NEU,1
"Không bẩn lắm, cũng được.",NEU,1
"Giá hơi không đáng tiền, còn lại ok.",NEU,1
"Cũng ok, recommend.",POS,2
"Cũng đỉnh, recommend.",POS,2
"Cũng không xấu, ok.",NEU,1
"bẩn, chen chúc.",NEG,0
"Khá ok, không quá thơ mộng.",NEU,1
"đông quá, dịch vụ tệ, kém!",NEG,0
"Không tệ lắm, cũng được.",NEU,1
"tiện nghi đầy đủ, thích.",POS,2
tốt nhưng xếp hàng dài.,NEU,1
"Cũng được, không có gì đặc biệt.",NEU,1
"wc hôi, kém, không recommend!",NEG,0
"Giá đắt, kém, thất vọng!",NEG,0
"Dịch vụ bẩn, phục vụ chậm, không bao giờ quay lại!",NEG,0
Tạm được,NEU,1
Phòng sạch nhưng nhỏ,NEU,1
"Địa điểm ổn, nhân viên thân thiện.",POS,2
"Cảnh ok, chụp hình thơ mộng, thích lắm!",POS,2
"Cũng xịn, recommend.",POS,2
"chờ lâu, không nhiệt tình, chán!",NEG,0
Tuy thất vọng nhưng hay.,NEU,1
"Giá mắc, tệ, thất vọng!",NEG,0
"xếp hàng dài, nhân viên cộc lốc, bẩn!",NEG,0
"rác nhiều, bẩn, không recommend!",NEG,0
"Khá ok, không quá tốt.",NEU,1
Cảnh ổn nhưng xấu.,NEU,1
"Hơi tồi, còn lại ok.",NEU,1
"xấu, xếp hàng dài.",NEG,0
"wifi mạnh, lãng mạn.",POS,2
"thất vọng, đông quá.",NEG,0
"Mặc dù đắt, nhưng thơ mộng.",NEU,1
"mùi khó chịu, tồi, không recommend!",NEG,0
"Hơi dở, còn lại ok.",NEU,1
"Cũng kém, không recommend.",NEG,0
"Hơi ồn ào, nhưng chấp nhận được.",NEU,1
"không nhiệt tình, bẩn.",NEG,0
"wc hôi, kém, không recommend!",NEG,0
