id,text,rating,sentiment_score,pseudo_label,label,pos_keywords,neg_keywords,needs_review,label_id,corrected,old_label
894,"Giá trên trời, không đáng tiền",1,0.0,NEG,NEG,[],[],NO,,,
893,"Theo mình Thất vọng hoàn toàn, không như quảng cáo",1,0.0,NEG,NEG,[],[],NO,,,
892,"Chặt chém du khách, lừa đảo nha",1,0.0,NEG,NEG,[],[],NO,,,
891,"Theo mình Bẩn quá, toilet hôi hám",1,0.0,NEG,NEG,[],[],NO,,,
890,"Cá nhân mình nghĩ Dịch vụ tệ, không bao giờ quay lại",1,0.0,NEG,NEG,[],[],NO,,,
888,"Giá hợp lý, đáng để trải nghiệm",4,0.0,POS,POS,[],[],NO,,,
886,"Địa điểm xinh, nhân viên dễ thương",4,0.0,POS,POS,[],[],NO,,,
887,"Theo mình Phòng sạch sẽ, tiện nghi đầy đủ nha",4,0.0,POS,POS,[],[],NO,,,
884,Hài lòng với chuyến đi,4,0.0,POS,POS,[],[],NO,,,
885,"Nên đi, view đẹp lắm",4,0.0,POS,POS,[],[],NO,,,
883,"Mình thấy Khá ổn, cảnh đẹp, dịch vụ tốt",4,0.0,POS,POS,[],[],NO,,,
882,"Đáng tiền, trải nghiệm tốt",4,0.0,POS,POS,[],[],NO,,,
881,"Siêu đẹp, chụp hình cực xịn",5,0.0,POS,POS,[],[],NO,,,
879,"Hoàn hảo, xứng đáng 5 sao",5,0.0,POS,POS,[],[],NO,,,
880,"Tuyệt đẹp, không thể bỏ lỡ",5,0.0,POS,POS,[],[],NO,,,
877,"Theo mình View đỉnh cao, phục vụ nhiệt tình",5,0.0,POS,POS,[],[],NO,,,
878,"Rất hài lòng, sẽ quay lại ạ",5,0.0,POS,POS,[],[],NO,,,
875,"Địa điểm tuyệt vời, rất đáng đi",5,0.0,POS,POS,[],[],NO,,,
876,"Theo mình Cảnh đẹp xuất sắc, recommend mạnh",5,0.0,POS,POS,[],[],NO,,,
862,"Cá nhân mình nghĩ Cơ sở vật chất xuống cấp, hư hỏng nhiều",2,0.0,NEG,NEG,[],[],NO,,,
864,Đắt mà chất lượng kém,2,0.0,NEG,NEG,[],[],NO,,,
863,"Không sạch sẽ, mùi khó chịu",2,0.0,NEG,NEG,[],[],NO,,,
860,"Theo mình Nhân viên thái độ kém, phục vụ tệ",2,0.0,NEG,NEG,[],[],NO,,,
861,"Quá đông, chen chúc, chờ lâu",2,0.0,NEG,NEG,[],[],NO,,,
858,"Thất vọng hoàn toàn, không như quảng cáo nha",1,0.0,NEG,NEG,[],[],NO,,,
859,"Giá trên trời, không đáng tiền",1,0.0,NEG,NEG,[],[],NO,,,
856,"Bẩn quá, toilet hôi hám",1,0.0,NEG,NEG,[],[],NO,,,
857,"Chặt chém du khách, lừa đảo",1,0.0,NEG,NEG,[],[],NO,,,
855,"Dịch vụ tệ, không bao giờ quay lại nha",1,0.0,NEG,NEG,[],[],NO,,,
852,"Cá nhân mình nghĩ Phòng sạch sẽ, tiện nghi đầy đủ",4,0.0,POS,POS,[],[],NO,,,
853,"Giá hợp lý, đáng để trải nghiệm",4,0.0,POS,POS,[],[],NO,,,
851,"Địa điểm xinh, nhân viên dễ thương luôn",4,0.0,POS,POS,[],[],NO,,,
850,"Nên đi, view đẹp lắm",4,0.0,POS,POS,[],[],NO,,,
847,"Theo mình Đáng tiền, trải nghiệm tốt",4,0.0,POS,POS,[],[],NO,,,
848,"Khá ổn, cảnh đẹp, dịch vụ tốt ạ",4,0.0,POS,POS,[],[],NO,,,
849,Hài lòng với chuyến đi,4,0.0,POS,POS,[],[],NO,,,
846,"Siêu đẹp, chụp hình cực xịn",5,0.0,POS,POS,[],[],NO,,,
845,"Tuyệt đẹp, không thể bỏ lỡ",5,0.0,POS,POS,[],[],NO,,,
843,"Rất hài lòng, sẽ quay lại",5,0.0,POS,POS,[],[],NO,,,
844,"Hoàn hảo, xứng đáng 5 sao",5,0.0,POS,POS,[],[],NO,,,
842,"View đỉnh cao, phục vụ nhiệt tình",5,0.0,POS,POS,[],[],NO,,,
841,"Cảnh đẹp xuất sắc, recommend mạnh",5,0.0,POS,POS,[],[],NO,,,
840,"Địa điểm tuyệt vời, rất đáng đi",5,0.0,POS,POS,[],[],NO,,,
827,"Cơ sở vật chất xuống cấp, hư hỏng nhiều",2,0.0,NEG,NEG,[],[],NO,,,
829,Đắt mà chất lượng kém,2,0.0,NEG,NEG,[],[],NO,,,
828,"Không sạch sẽ, mùi khó chịu",2,0.0,NEG,NEG,[],[],NO,,,
826,"Quá đông, chen chúc, chờ lâu",2,0.0,NEG,NEG,[],[],NO,,,
825,"Nhân viên thái độ kém, phục vụ tệ",2,0.0,NEG,NEG,[],[],NO,,,
824,"Giá trên trời, không đáng tiền",1,0.0,NEG,NEG,[],[],NO,,,
823,"Thất vọng hoàn toàn, không như quảng cáo",1,0.0,NEG,NEG,[],[],NO,,,
822,"Chặt chém du khách, lừa đảo",1,0.0,NEG,NEG,[],[],NO,,,
821,"Bẩn quá, toilet hôi hám",1,0.0,NEG,NEG,[],[],NO,,,
815,"Cá nhân mình nghĩ Nên đi, view đẹp lắm",4,0.0,POS,POS,[],[],NO,,,
818,"Giá hợp lý, đáng để trải nghiệm",4,0.0,POS,POS,[],[],NO,,,
809,"Hoàn hảo, xứng đáng 5 sao",5,0.0,POS,POS,[],[],NO,,,
808,"Rất hài lòng, sẽ quay lại",5,0.0,POS,POS,[],[],NO,,,
820,"Dịch vụ tệ, không bao giờ quay lại nha",1,0.0,NEG,NEG,[],[],NO,,,
811,"Siêu đẹp, chụp hình cực xịn",5,0.0,POS,POS,[],[],NO,,,
810,"Tuyệt đẹp, không thể bỏ lỡ",5,0.0,POS,POS,[],[],NO,,,
812,"Đáng tiền, trải nghiệm tốt",4,0.0,POS,POS,[],[],NO,,,
813,"Khá ổn, cảnh đẹp, dịch vụ tốt",4,0.0,POS,POS,[],[],NO,,,
816,"Địa điểm xinh, nhân viên dễ thương",4,0.0,POS,POS,[],[],NO,,,
817,"Phòng sạch sẽ, tiện nghi đầy đủ ạ",4,0.0,POS,POS,[],[],NO,,,
